scalerS16b IPM2C21A IPM2C24A 
108400 53991 126.958 120.477
106872 33015 127.602 120.827
104816 20109 124.442 118.362
104521 19988 123.058 116.421
103315 19637 121.082 114.562
103315 19637 124.481 118.393
103974 15759 118.118 111.193
103825 36222 121.862 115.866
104426 36222 124.312 117.54
103943 36222 119.691 113.617
103635 19730 122.206 116.174
110837 5682 125.398 118.074
107427 4495 128.641 122.028
109146 37833 125.027 118.577
110362 54664 128.297 121.535
107482 20924 128.538 121.535
109046 54309 123.981 117.941
103210 35984 126.873 120.56
105485 20327 122.356 115.866
111103 38592 123.156 116.708
108060 53993 129.525 123.394
110372 5504 129.525 120.375
112660 22588 128.817 121.576
110736 22041 131.417 124.647
105514 20274 128.986 122.326
104643 20069 128.986 116.975
42855 15484 122.902 116.4
432 1424 59.3385 36.1093
425 1424 0 0
422 1424 0 0
419 1424 0 0
419 1433 0 0
417 1433 0 0
418 1424 0 0
414 1424 0 0
414 1424 0 0
413 1424 0 0
414 1424 0 0
416 1424 0 0
415 1432 0 0
413 1424 0 0
410 1432 0 0
410 1424 0 0
409 1409 0 0
404 1424 0 0
401 1434 0 0
400 1434 0 0
524 1483 0 0
912 1583 0.564538 0
931 1597 0.687018 0.577713
10753 4580 0.687018 0.70465
15665 6104 3.9 6.162
15625 6104 7.8 6.162
16103 6334 19.5 24.9371
16168 6334 19.5 27.4486
15921 6334 30.5851 27.4486
15544 6215 26.845 26.3425
15885 6327 17.8438 16.9763
16190 6439 17.9751 17.1945
15608 6265 17.9751 17.1945
15608 6265 18.4327 17.4949
53423 18811 18.2793 19.0817
53467 18973 51.5307 49.5117
74097 26017 85.4067 59.204
76416 26880 107.055 59.4376
73172 25905 87.373 83.7056
73172 25905 88.1465 133.412
70782 8772 84.981 131.579
73644 26089 82.693 78.052
72214 9480 85.163 80.9584
77382 11024 84.474 79.613
74522 26504 89.804 85.0972
99802 2178 87.0805 82.3551
101770 51844 111.897 105.165
104127 3442 118.709 112.795
102813 35737 121.173 114.685
101838 51836 120.828 114.757
104198 19881 118.378 111.173
106083 20470 121.972 115.784
106364 4145 123.305 115.188
102636 2923 125.437 118.875
108403 37549 121.348 115.086
110890 38321 121.882 115.496
104711 20000 130.253 123.589
106731 4311 123.097 116.955
112435 38885 122.629 115.979
109067 4986 129.837 121.669
109346 37848 131.684 125.243
113242 55568 125.769 118.69
114803 39740 130.436 124.637
110069 21671 131.001 124.267
107567 37368 132.424 125.397
108796 4959 127.381 120.785
108692 4959 125.619 119.995
98923 34477 125.827 119.697
110276 5530 124.969 118.526
109147 5096 118.956 114.151
109147 5096 129.695 122.726
107200 53616 126.223 119.81
111195 22191 123.974 117.571
105644 3976 126.783 120.334
104830 3713 123.688 117.386
113087 22804 122.076 116.616
113677 23032 133.614 126.732
112508 22525 132.626 125.89
108495 21253 130.715 122.963
107654 16960 125.756 119.461
109682 21719 125.833 119.224
116388 23860 127.731 121.699
112765 6271 135.324 128.365
109819 21722 131.898 125.16
109301 37921 128.128 121.545
113088 55519 127.666 121.381
109456 21640 132.587 126.095
110626 54718 127.348 121.042
105812 4056 130.266 123.415
102803 35792 123.643 117.304
118577 24628 120.38 113.935
133488 29482 127.049 124.76
129043 27981 158.34 150.343
138299 26958 203.268 142.507
153943 48639 156.884 147.097
150955 35320 180.18 171.468
147102 1286 177.658 168.716
144051 16649 169.078 160.808
148514 67290 169.585 161.075
149331 26601 171.314 162.112
154439 16013 171.574 163.601
154439 16013 179.777 171.283
153851 69015 177.411 168.253
154730 3866 182.234 173.08
147961 1543 172.38 164.258
153810 69117 176.514 167.565
149703 2156 174.343 166.764
140445 64622 167.193 159.534
145305 62113 164.008 155.334
150103 35042 171.418 162.903
153181 56592 177.021 168.171
148853 1910 176.93 168.849
149258 67493 176.93 166.939
148347 30346 171.938 163.827
149938 2142 172.51 164.186
149986 84110 174.239 165.953
142163 32441 172.835 163.817
150231 18674 167.908 160.048
147219 13601 167.908 160.048
145090 33326 169.208 160.756
150759 35178 171.678 160.756
142471 65256 171.678 163.201
141209 48428 166.556 157.87
140376 15541 166.556 157.87
137207 47126 162.266 156.279
138672 14922 159.744 151.37
138605 14739 159.744 152.16
137267 30793 159.731 152.16
140481 64547 159.731 154.451
140510 15530 163.098 154.327
145458 49891 164.632 156.833
147048 34000 164.632 156.833
147048 34000 166.53 163.262
154229 85566 171.509 163.262
141828 48595 165.945 157.829
144368 33169 165.711 157.829
140169 31703 166.374 156.176
143206 49015 166.374 156.176
139780 31569 163.852 156.001
142519 65228 165.048 157.039
144046 65906 164.424 157.039
139620 15172 169.338 161.064
137197 47165 160.329 154.009
144095 28982 161.603 154.009
141686 48623 161.967 153.947
133577 29530 166.595 159.216
138776 64032 159.432 151.606
143015 65467 159.432 151.606
150620 51631 173.498 156.32
148995 51167 173.498 164.361
145709 33618 174.876 166.384
138157 47462 169.182 160.972
143929 32993 163.033 158.723
145809 33543 166.205 158.723
145894 62360 166.894 163.036
148734 51023 171.34 163.036
145544 50004 171.184 163.498
152574 85087 168.376 160.222
149572 18503 173.368 163.211
149046 83874 177.411 167.935
146329 17440 173.654 164.649
151081 43661 173.654 165.593
152214 52225 168.415 161.537
152214 52225 178.165 169.147
147866 50730 176.41 167.997
143894 33022 170.495 162.42
146558 50361 167.375 159.318
136733 47136 170.053 161.752
