scalerS16b IPM2C21A IPM2C24A 
478 1450 0 0
471 1459 0 0
472 1444 0 0
472 1444 0 0
473 1444 0 0
475 1455 0 0
470 1437 0 0
474 1437 0 0
468 1452 0 0
473 1452 0 0
469 1452 0 0
471 1444 0 0
468 1444 0 0
472 1455 0 0
473 1445 0 0
467 1445 0 0
467 1445 0 0
471 1445 0 0
469 1445 0 0
469 1445 0 0
469 1445 0 0
467 1445 0 0
465 1445 0 0
467 1445 0 0
465 1445 0 0
465 1445 0 0
465 1445 0 0
465 1445 0 0
466 1445 0 0
465 1445 0 0
472 1445 0 0
464 1445 0 0
465 1435 0 0
467 1435 0 0
464 1456 0 0
463 1446 0 0
468 1446 0 0
470 1446 0 0
468 1446 0 0
468 1446 0 0
467 1446 0 0
469 1446 0 0
469 1438 0 0
470 1438 0 0
470 1455 0 0
473 1455 0 0
468 1455 0 0
466 1446 0 0
468 1446 0 0
465 1446 0 0
465 1446 0 0
457 1437 0 0
464 1437 0 0
458 1437 0 0
455 1437 0 0
460 1437 0 0
457 1437 0 0
465 1451 0 0
466 1440 0 0
465 1440 0 0
463 1440 0 0
462 1440 0 0
461 1440 0 0
464 1449 0 0
464 1449 0 0
464 1424 0 0
465 1424 0 0
465 1441 0 0
463 1441 0 0
464 1441 0 0
465 1441 0 0
469 1441 0 0
468 1441 0 0
462 1450 0 0
462 1450 0 0
462 1441 0 0
468 1441 0 0
469 1431 0 0
468 1452 0 0
468 1441 0 0
469 1441 0 0
469 1441 0 0
470 1441 0 0
469 1426 0 0
464 1442 0 0
467 1442 0 0
464 1442 0 0
462 1434 0 0
466 1442 0 0
463 1442 0 0
463 1442 0 0
463 1450 0 0
462 1436 0 0
456 1436 0 0
455 1447 0 0
457 1447 0 0
463 1447 0 0
462 1447 0 0
462 1447 0 0
