scalerS16b IPM2C21A IPM2C24A 
21538 58713 192.777 183.504
21468 58713 195.624 186.4
22234 64655 195.832 186.452
21952 76565 203.437 194.565
21519 91382 204.347 194.616
21519 91382 198.965 189.42
21644 91382 195.091 185.877
21823 26642 203.762 194.011
21380 86864 196.794 186.739
21368 45871 197.886 188.044
21792 42951 198.432 189.112
22138 60320 198.432 189.112
21599 58817 201.019 191.176
21206 61994 196.118 186.893
21140 57482 196.118 186.893
21126 90295 196.183 185.322
21516 58513 193.427 185.322
22330 28088 200.928 193.189
22421 77458 207.051 197.759
22701 61908 207.051 197.759
22893 95075 210.938 201.405
22107 76551 210.015 201.405
21697 58995 210.015 191.227
21607 58995 202.345 189.523
21125 57459 199.706 189.523
21402 9209 194.506 185.353
21498 58611 194.506 185.353
21199 74047 197.353 186.935
22013 43515 196.898 186.935
22655 45311 194.051 195.9
21929 39172 203.437 197.995
21335 41716 206.739 197.995
21750 75576 201.682 185.671
21307 25179 195.338 185.671
22318 60696 199.979 189.153
22318 60696 196.729 194.308
21580 42269 204.1 194.308
22211 44056 199.264 189.974
21637 42486 205.14 188.865
21241 57690 197.743 188.865
21819 26533 197.743 188.793
22083 10848 200.369 191.145
21300 90746 198.458 188.609
22046 60148 198.458 188.609
21797 75648 200.798 191.176
21410 58130 202.124 190.467
21017 57068 199.94 190.467
20764 7270 192.335 183.535
21615 42398 189.28 180.218
21827 10300 194.792 185.569
21271 57810 198.887 189.533
21408 9039 199.29 189.163
21696 58861 196.677 187.438
21339 41534 198.432 189.03
21162 57575 196.209 187.017
21460 70672 193.661 183.381
21508 74827 197.093 186.483
21497 9249 195.052 185.63
21001 61317 199.706 190.036
21532 42130 196.846 187.202
21709 26369 194.974 186.483
20506 23057 199.121 190.58
21576 91438 193.83 186.719
21655 58868 191.568 182.426
21640 42674 197.704 188.516
21340 58151 199.901 190.365
21340 58151 197.626 188.054
22184 27766 199.576 188.485
20900 40495 202.293 193.877
21687 91854 194.415 184.778
21548 91854 200.265 190.56
22181 60516 197.795 189.05
21836 43108 204.074 193.702
21834 10346 200.759 191.987
21716 59147 200.018 191.001
607 1438 191.113 182.611
525 1438 7.215 8.04141
503 1438 0 0
489 1438 0 0
471 1438 0 0
463 1438 0 0
455 1455 0 0
446 1445 0 0
438 1445 0 0
