scalerS16b	IPM2C21A	IPM2C24A		
818	1.39306e+07	12.8102	12.2716	
825	1.38215e+07	12.5853	12.1925	
825	1.38215e+07	12.5853	12.0744	
820	1.38215e+07	12.5853	12.0744	
833	1.38215e+07	12.6607	12.0744	
837	1.38215e+07	12.8986	12.2685	
825	1.38215e+07	12.6438	12.3476	
816	1.38215e+07	12.571	12.0518	
825	1.38215e+07	12.571	11.981	
837	1.38215e+07	12.6867	12.0796	
836	1.38215e+07	12.8258	12.3117	
817	1.38215e+07	12.6529	12.3117	
844	1.38215e+07	12.727	12.0631	
835	1.38215e+07	12.9233	12.3949	
837	1.38215e+07	12.7985	12.3055	
829	1.38215e+07	12.7985	12.3055	
837	1.38215e+07	12.7985	12.1741	
838	1.38215e+07	12.7985	12.3476	
825	1.38215e+07	12.7985	12.285	
830	1.38215e+07	12.6555	12.2264	
830	1.38215e+07	12.727	12.0991	
838	1.38215e+07	12.727	12.2459	
836	1.38215e+07	12.8336	12.2983	
845	1.38215e+07	12.8336	12.2254	
831	1.38215e+07	12.8869	12.3825	
827	1.38215e+07	12.714	12.3189	
833	1.38215e+07	12.6516	12.1371	
829	1.38215e+07	12.7972	12.1371	
155	1.38215e+07	12.5853	12.2922	
94	1.38215e+07	2.4232	8.50048	
94	1.38215e+07	0	0	
97	1.38215e+07	0	0	
97	1.38215e+07	0	0	
97	1.38215e+07	0	0	
98	1.38215e+07	0	0	
98	1.38215e+07	0	0	
98	1.38215e+07	0	0	
98	1.38215e+07	0	0	
94	1.38215e+07	0	0	
95	1.38215e+07	0	0	
99	1.38215e+07	0	0	
97	1.38215e+07	0	0	
98	1.38215e+07	0	0	
102	1.38215e+07	0	0	
98	1.38215e+07	0	0	
102	1.39392e+07	0	0	
99	1.38119e+07	0	0	
102	1.38119e+07	0	0	
99	1.38119e+07	0	0	
100	1.38119e+07	0	0	
99	1.38119e+07	0	0	
100	1.38119e+07	0	0	
102	1.38119e+07	0	0	
97	1.38119e+07	0	0	
96	1.38119e+07	0	0	
96	1.38119e+07	0	0	
404	1.38119e+07	0	0	
872	1.38119e+07	0.78	0	
865	1.38119e+07	1.95	1.5405	
867	1.38119e+07	3.9	3.081	
850	1.38119e+07	7.8	6.162	
837	1.38119e+07	17.9033	15.405	
834	1.38119e+07	19.8724	19.1669	
831	1.36849e+07	19.7951	19.1669	
831	1.36849e+07	12.7491	12.2336	
832	1.3804e+07	12.8531	12.325	
825	1.3804e+07	12.7387	12.2264	
833	1.3804e+07	12.883	12.3065	
815	1.3804e+07	12.6997	12.3065	
