scalerS16b	IPM2C21A	IPM2C24A		
77	1.38215e+07	0	0	
77	1.38215e+07	0	0	
73	1.38215e+07	0	0	
74	1.38215e+07	0	0	
74	1.38215e+07	0	0	
78	1.38215e+07	0	0	
81	1.38215e+07	0	0	
78	1.38215e+07	0	0	
82	1.38215e+07	0	0	
83	1.38215e+07	0	0	
82	1.38215e+07	0	0	
79	1.38215e+07	0	0	
86	1.38215e+07	0	0	
82	1.38215e+07	0	0	
82	1.38215e+07	0	0	
78	1.38215e+07	0	0	
78	1.38215e+07	0	0	
76	1.38215e+07	0	0	
76	1.38215e+07	0	0	
76	1.38215e+07	0	0	
75	1.38215e+07	0	0	
74	1.38215e+07	0	0	
75	1.38215e+07	0	0	
76	1.38215e+07	0	0	
79	1.38215e+07	0	0	
74	1.38215e+07	0	0	
78	1.38215e+07	0	0	
80	1.38215e+07	0	0	
79	1.38215e+07	0	0	
79	1.38215e+07	0	0	
77	1.38215e+07	0	0	
78	1.38215e+07	0	0	
73	1.38215e+07	0	0	
72	1.38215e+07	0	0	
73	1.38215e+07	0	0	
79	1.38215e+07	0	0	
78	1.38215e+07	0	0	
80	1.38215e+07	0	0	
80	1.38215e+07	0	0	
79	1.38215e+07	0	0	
83	1.38215e+07	0	0	
83	1.38215e+07	0	0	
90	1.38215e+07	0	0	
85	1.38215e+07	0	0	
86	1.38215e+07	0	0	
81	1.38215e+07	0	0	
86	1.38215e+07	0	0	
79	1.38215e+07	0	0	
82	1.38215e+07	0	0	
81	1.38215e+07	0	0	
83	1.38215e+07	0	0	
81	1.38215e+07	0	0	
82	1.38215e+07	0	0	
82	1.38215e+07	0	0	
86	1.38215e+07	0	0	
86	1.38215e+07	0	0	
83	1.38215e+07	0	0	
82	1.38215e+07	0	0	
82	1.38215e+07	0	0	
84	1.38215e+07	0	0	
84	1.38215e+07	0	0	
83	1.38215e+07	0	0	
85	1.38215e+07	0	0	
85	1.38215e+07	0	0	
84	1.38215e+07	0	0	
82	1.38215e+07	0	0	
81	1.38215e+07	0	0	
85	1.38215e+07	0	0	
83	1.38215e+07	0	0	
85	1.38215e+07	0	0	
86	1.38215e+07	0	0	
82	1.38215e+07	0	0	
86	1.38215e+07	0	0	
87	1.38215e+07	0	0	
87	1.38215e+07	0	0	
78	1.38215e+07	0	0	
78	1.38215e+07	0	0	
80	1.38215e+07	0	0	
82	1.38215e+07	0	0	
84	1.38215e+07	0	0	
83	1.37086e+07	0	0	
